Year,Status,Gender,Number,,,,,,,,,,
2005,All,Both,32242364,,,,,,,,,,
2005,All,Male,15978534,,,,,,,,,,
2005,All,Female,16263830,,,,,,,,,,
2005,Single,Both,13303011,,,,,,,,,,
2005,Single,Male,7106499,,,,,,,,,,
2005,Single,Female,6196512,,,,,,,,,,
2005,Married,Both,12473818,,,,,,,,,,
2005,Married,Male,6242217,,,,,,,,,,
2005,Married,Female,6231601,,,,,,,,,,
2005,Separated,Both,712065,,,,,,,,,,
2005,Separated,Male,329754,,,,,,,,,,
2005,Separated,Female,382311,,,,,,,,,,
2005,CommonLaw,Both,2746928,,,,,,,,,,
2005,CommonLaw,Male,1398949,,,,,,,,,,
2005,CommonLaw,Female,1347979,,,,,,,,,,
2005,Widowed,Both,1507186,,,,,,,,,,
2005,Widowed,Male,275740,,,,,,,,,,
2005,Widowed,Female,1231446,,,,,,,,,,
2005,Divorced,Both,1499356,,,,,,,,,,
2005,Divorced,Male,625375,,,,,,,,,,
2005,Divorced,Female,873981,,,,,,,,,,
2006,All,Both,32570505,,,,,,,,,,
2006,All,Male,16144446,,,,,,,,,,
2006,All,Female,16426059,,,,,,,,,,
2006,Single,Both,13405838,,,,,,,,,,
2006,Single,Male,7163736,,,,,,,,,,
2006,Single,Female,6242102,,,,,,,,,,
2006,Married,Both,12557136,,,,,,,,,,
2006,Married,Male,6283331,,,,,,,,,,
2006,Married,Female,6273805,,,,,,,,,,
2006,Separated,Both,718960,,,,,,,,,,
2006,Separated,Male,332317,,,,,,,,,,
2006,Separated,Female,386643,,,,,,,,,,
2006,CommonLaw,Both,2840404,,,,,,,,,,
2006,CommonLaw,Male,1447100,,,,,,,,,,
2006,CommonLaw,Female,1393304,,,,,,,,,,
2006,Widowed,Both,1513584,,,,,,,,,,
2006,Widowed,Male,277769,,,,,,,,,,
2006,Widowed,Female,1235815,,,,,,,,,,
2006,Divorced,Both,1534583,,,,,,,,,,
2006,Divorced,Male,640193,,,,,,,,,,
2006,Divorced,Female,894390,,,,,,,,,,
2007,All,Both,32887928,,,,,,,,,,
2007,All,Male,16298320,,,,,,,,,,
2007,All,Female,16589608,,,,,,,,,,
2007,Single,Both,13501175,,,,,,,,,,
2007,Single,Male,7204880,,,,,,,,,,
2007,Single,Female,6296295,,,,,,,,,,
2007,Married,Both,12642483,,,,,,,,,,
2007,Married,Male,6330106,,,,,,,,,,
2007,Married,Female,6312377,,,,,,,,,,
2007,Separated,Both,731835,,,,,,,,,,
2007,Separated,Male,335516,,,,,,,,,,
2007,Separated,Female,396319,,,,,,,,,,
2007,CommonLaw,Both,2906784,,,,,,,,,,
2007,CommonLaw,Male,1482343,,,,,,,,,,
2007,CommonLaw,Female,1424441,,,,,,,,,,
2007,Widowed,Both,1526956,,,,,,,,,,
2007,Widowed,Male,283926,,,,,,,,,,
2007,Widowed,Female,1243030,,,,,,,,,,
2007,Divorced,Both,1578695,,,,,,,,,,
2007,Divorced,Male,661549,,,,,,,,,,
2007,Divorced,Female,917146,,,,,,,,,,
2008,All,Both,33245773,,,,,,,,,,
2008,All,Male,16473545,,,,,,,,,,
2008,All,Female,16772228,,,,,,,,,,
2008,Single,Both,13620504,,,,,,,,,,
2008,Single,Male,7259032,,,,,,,,,,
2008,Single,Female,6361472,,,,,,,,,,
2008,Married,Both,12736076,,,,,,,,,,
2008,Married,Male,6380855,,,,,,,,,,
2008,Married,Female,6355221,,,,,,,,,,
2008,Separated,Both,745746,,,,,,,,,,
2008,Separated,Male,339204,,,,,,,,,,
2008,Separated,Female,406542,,,,,,,,,,
2008,CommonLaw,Both,2977986,,,,,,,,,,
2008,CommonLaw,Male,1520163,,,,,,,,,,
2008,CommonLaw,Female,1457823,,,,,,,,,,
2008,Widowed,Both,1540802,,,,,,,,,,
2008,Widowed,Male,290434,,,,,,,,,,
2008,Widowed,Female,1250368,,,,,,,,,,
2008,Divorced,Both,1624659,,,,,,,,,,
2008,Divorced,Male,683857,,,,,,,,,,
2008,Divorced,Female,940802,,,,,,,,,,
2009,All,Both,33628571,,,,,,,,,,
2009,All,Male,16663222,,,,,,,,,,
2009,All,Female,16965349,,,,,,,,,,
2009,Single,Both,13758562,,,,,,,,,,
2009,Single,Male,7325800,,,,,,,,,,
2009,Single,Female,6432762,,,,,,,,,,
2009,Married,Both,12829268,,,,,,,,,,
2009,Married,Male,6430178,,,,,,,,,,
2009,Married,Female,6399090,,,,,,,,,,
2009,Separated,Both,760124,,,,,,,,,,
2009,Separated,Male,343081,,,,,,,,,,
2009,Separated,Female,417043,,,,,,,,,,
2009,CommonLaw,Both,3053739,,,,,,,,,,
2009,CommonLaw,Male,1560331,,,,,,,,,,
2009,CommonLaw,Female,1493408,,,,,,,,,,
2009,Widowed,Both,1555197,,,,,,,,,,
2009,Widowed,Male,297142,,,,,,,,,,
2009,Widowed,Female,1258055,,,,,,,,,,
2009,Divorced,Both,1671681,,,,,,,,,,
2009,Divorced,Male,706690,,,,,,,,,,
2009,Divorced,Female,964991,,,,,,,,,,
2010,All,Both,34005274,,,,,,,,,,
2010,All,Male,16847961,,,,,,,,,,
2010,All,Female,17157313,,,,,,,,,,
2010,Single,Both,13897585,,,,,,,,,,
2010,Single,Male,7392801,,,,,,,,,,
2010,Single,Female,6504784,,,,,,,,,,
2010,Married,Both,12913554,,,,,,,,,,
2010,Married,Male,6473979,,,,,,,,,,
2010,Married,Female,6439575,,,,,,,,,,
2010,Separated,Both,774547,,,,,,,,,,
2010,Separated,Male,346993,,,,,,,,,,
2010,Separated,Female,427554,,,,,,,,,,
2010,CommonLaw,Both,3129416,,,,,,,,,,
2010,CommonLaw,Male,1600085,,,,,,,,,,
2010,CommonLaw,Female,1529331,,,,,,,,,,
2010,Widowed,Both,1570766,,,,,,,,,,
2010,Widowed,Male,304267,,,,,,,,,,
2010,Widowed,Female,1266499,,,,,,,,,,
2010,Divorced,Both,1719406,,,,,,,,,,
2010,Divorced,Male,729836,,,,,,,,,,
2010,Divorced,Female,989570,,,,,,,,,,
2011,All,Both,34342780,,,,,,,,,,
2011,All,Male,17015959,,,,,,,,,,
2011,All,Female,17326821,,,,,,,,,,
2011,Single,Both,14008323,,,,,,,,,,
2011,Single,Male,7446612,,,,,,,,,,
2011,Single,Female,6561711,,,,,,,,,,
2011,Married,Both,13000131,,,,,,,,,,
2011,Married,Male,6520600,,,,,,,,,,
2011,Married,Female,6479531,,,,,,,,,,
2011,Separated,Both,787668,,,,,,,,,,
2011,Separated,Male,350914,,,,,,,,,,
2011,Separated,Female,436754,,,,,,,,,,
2011,CommonLaw,Both,3194015,,,,,,,,,,
2011,CommonLaw,Male,1634450,,,,,,,,,,
2011,CommonLaw,Female,1559565,,,,,,,,,,
2011,Widowed,Both,1588669,,,,,,,,,,
2011,Widowed,Male,312018,,,,,,,,,,
2011,Widowed,Female,1276651,,,,,,,,,,
2011,Divorced,Both,1763974,,,,,,,,,,
2011,Divorced,Male,751365,,,,,,,,,,
2011,Divorced,Female,1012609,,,,,,,,,,
2012,All,Both,34752128,,,,,,,,,,
2012,All,Male,17225435,,,,,,,,,,
2012,All,Female,17526693,,,,,,,,,,
2012,Single,Both,14082329,,,,,,,,,,
2012,Single,Male,7491198,,,,,,,,,,
2012,Single,Female,6591131,,,,,,,,,,
2012,Married,Both,13215857,,,,,,,,,,
2012,Married,Male,6637764,,,,,,,,,,
2012,Married,Female,6578093,,,,,,,,,,
2012,Separated,Both,797392,,,,,,,,,,
2012,Separated,Male,355776,,,,,,,,,,
2012,Separated,Female,441616,,,,,,,,,,
2012,CommonLaw,Both,3226691,,,,,,,,,,
2012,CommonLaw,Male,1652643,,,,,,,,,,
2012,CommonLaw,Female,1574048,,,,,,,,,,
2012,Widowed,Both,1636019,,,,,,,,,,
2012,Widowed,Male,323992,,,,,,,,,,
2012,Widowed,Female,1312027,,,,,,,,,,
2012,Divorced,Both,1793840,,,,,,,,,,
2012,Divorced,Male,764062,,,,,,,,,,
2012,Divorced,Female,1029778,,,,,,,,,,
2013,All,Both,35154279,,,,,,,,,,
2013,All,Male,17430227,,,,,,,,,,
2013,All,Female,17724052,,,,,,,,,,
2013,Single,Both,14145262,,,,,,,,,,
2013,Single,Male,7529170,,,,,,,,,,
2013,Single,Female,6616092,,,,,,,,,,
2013,Married,Both,13436190,,,,,,,,,,
2013,Married,Male,6757895,,,,,,,,,,
2013,Married,Female,6678295,,,,,,,,,,
2013,Separated,Both,807096,,,,,,,,,,
2013,Separated,Male,360662,,,,,,,,,,
2013,Separated,Female,446434,,,,,,,,,,
2013,CommonLaw,Both,3257010,,,,,,,,,,
2013,CommonLaw,Male,1669660,,,,,,,,,,
2013,CommonLaw,Female,1587350,,,,,,,,,,
2013,Widowed,Both,1685126,,,,,,,,,,
2013,Widowed,Male,336314,,,,,,,,,,
2013,Widowed,Female,1348812,,,,,,,,,,
2013,Divorced,Both,1823595,,,,,,,,,,
2013,Divorced,Male,776526,,,,,,,,,,
2013,Divorced,Female,1047069,,,,,,,,,,
2014,All,Both,35540419,,,,,,,,,,
2014,All,Male,17624990,,,,,,,,,,
2014,All,Female,17915429,,,,,,,,,,
2014,Single,Both,14207235,,,,,,,,,,
2014,Single,Male,7565914,,,,,,,,,,
2014,Single,Female,6641321,,,,,,,,,,
2014,Married,Both,13646600,,,,,,,,,,
2014,Married,Male,6872175,,,,,,,,,,
2014,Married,Female,6774425,,,,,,,,,,
2014,Separated,Both,816103,,,,,,,,,,
2014,Separated,Male,365079,,,,,,,,,,
2014,Separated,Female,451024,,,,,,,,,,
